,x,y,width,height,rotate
0,-400.0,-400.0,1.8,1.8,135.0
1,-400.0,-397.3,1.8,1.8,135.0
2,-400.0,-394.7,1.4,1.4,135.0
3,-400.0,-392.0,1.4,1.4,134.0
4,-400.0,-389.3,1.4,1.4,134.0
5,-400.0,-386.7,0.8,0.8,134.0
6,-400.0,-384.0,0.8,0.8,134.0
7,-400.0,-381.3,0.8,0.8,134.0
8,-400.0,-378.7,0.3,0.3,133.0
9,-400.0,-376.0,0.3,0.3,133.0
10,-400.0,-373.3,0.8,0.8,133.0
11,-400.0,-370.7,0.8,0.8,133.0
12,-400.0,-368.0,0.8,0.8,133.0
13,-400.0,-365.3,1.4,1.4,132.0
14,-400.0,-362.7,1.4,1.4,132.0
15,-400.0,-360.0,1.4,1.4,132.0
16,-400.0,-357.3,1.8,1.8,132.0
17,-400.0,-354.7,1.8,1.8,132.0
18,-400.0,-352.0,1.8,1.8,131.0
19,-400.0,-349.3,2.0,2.0,131.0
20,-400.0,-346.7,2.0,2.0,131.0
21,-400.0,-344.0,2.0,2.0,131.0
22,-400.0,-341.3,2.1,2.1,130.0
23,-400.0,-338.7,2.1,2.1,130.0
24,-400.0,-336.0,2.0,2.0,130.0
25,-400.0,-333.3,2.0,2.0,130.0
26,-400.0,-330.7,2.0,2.0,130.0
27,-400.0,-328.0,1.8,1.8,129.0
28,-400.0,-325.3,1.8,1.8,129.0
29,-400.0,-322.7,1.8,1.8,129.0
30,-400.0,-320.0,1.4,1.4,129.0
31,-400.0,-317.3,1.4,1.4,128.0
32,-400.0,-314.7,1.4,1.4,128.0
33,-400.0,-312.0,0.8,0.8,128.0
34,-400.0,-309.3,0.8,0.8,128.0
35,-400.0,-306.7,0.8,0.8,127.0
36,-400.0,-304.0,0.3,0.3,127.0
37,-400.0,-301.3,0.3,0.3,127.0
38,-400.0,-298.7,0.3,0.3,127.0
39,-400.0,-296.0,0.3,0.3,127.0
40,-400.0,-293.3,0.8,0.8,126.0
41,-400.0,-290.7,0.8,0.8,126.0
42,-400.0,-288.0,0.8,0.8,126.0
43,-400.0,-285.3,1.4,1.4,125.0
44,-400.0,-282.7,1.4,1.4,125.0
45,-400.0,-280.0,1.4,1.4,125.0
46,-400.0,-277.3,1.8,1.8,125.0
47,-400.0,-274.7,1.8,1.8,124.0
48,-400.0,-272.0,1.8,1.8,124.0
49,-400.0,-269.3,2.0,2.0,124.0
50,-400.0,-266.7,2.0,2.0,124.0
51,-400.0,-264.0,2.0,2.0,123.0
52,-400.0,-261.3,2.0,2.0,123.0
53,-400.0,-258.7,2.1,2.1,123.0
54,-400.0,-256.0,2.1,2.1,123.0
55,-400.0,-253.3,2.1,2.1,122.0
56,-400.0,-250.7,2.0,2.0,122.0
57,-400.0,-248.0,2.0,2.0,122.0
58,-400.0,-245.3,2.0,2.0,122.0
59,-400.0,-242.7,2.0,2.0,121.0
60,-400.0,-240.0,1.8,1.8,121.0
61,-400.0,-237.3,1.8,1.8,121.0
62,-400.0,-234.7,1.8,1.8,120.0
63,-400.0,-232.0,1.4,1.4,120.0
64,-400.0,-229.3,1.4,1.4,120.0
65,-400.0,-226.7,1.4,1.4,120.0
66,-400.0,-224.0,1.4,1.4,119.0
67,-400.0,-221.3,0.8,0.8,119.0
68,-400.0,-218.7,0.8,0.8,119.0
69,-400.0,-216.0,0.8,0.8,118.0
70,-400.0,-213.3,0.8,0.8,118.0
71,-400.0,-210.7,0.3,0.3,118.0
72,-400.0,-208.0,0.3,0.3,117.0
73,-400.0,-205.3,0.3,0.3,117.0
74,-400.0,-202.7,0.3,0.3,117.0
75,-400.0,-200.0,0.8,0.8,117.0
76,-400.0,-197.3,0.8,0.8,116.0
77,-400.0,-194.7,0.8,0.8,116.0
78,-400.0,-192.0,0.8,0.8,116.0
79,-400.0,-189.3,0.8,0.8,115.0
80,-400.0,-186.7,1.4,1.4,115.0
81,-400.0,-184.0,1.4,1.4,115.0
82,-400.0,-181.3,1.4,1.4,114.0
83,-400.0,-178.7,1.4,1.4,114.0
84,-400.0,-176.0,1.8,1.8,114.0
85,-400.0,-173.3,1.8,1.8,113.0
86,-400.0,-170.7,1.8,1.8,113.0
87,-400.0,-168.0,1.8,1.8,113.0
88,-400.0,-165.3,1.8,1.8,112.0
89,-400.0,-162.7,2.0,2.0,112.0
90,-400.0,-160.0,2.0,2.0,112.0
91,-400.0,-157.3,2.0,2.0,111.0
92,-400.0,-154.7,2.0,2.0,111.0
93,-400.0,-152.0,2.0,2.0,111.0
94,-400.0,-149.3,2.1,2.1,110.0
95,-400.0,-146.7,2.1,2.1,110.0
96,-400.0,-144.0,2.1,2.1,110.0
97,-400.0,-141.3,2.1,2.1,109.0
98,-400.0,-138.7,2.1,2.1,109.0
99,-400.0,-136.0,2.0,2.0,109.0
100,-400.0,-133.3,2.0,2.0,108.0
101,-400.0,-130.7,2.0,2.0,108.0
102,-400.0,-128.0,2.0,2.0,108.0
103,-400.0,-125.3,2.0,2.0,107.0
104,-400.0,-122.7,2.0,2.0,107.0
105,-400.0,-120.0,2.0,2.0,107.0
106,-400.0,-117.3,1.8,1.8,106.0
107,-400.0,-114.7,1.8,1.8,106.0
108,-400.0,-112.0,1.8,1.8,106.0
109,-400.0,-109.3,1.8,1.8,105.0
110,-400.0,-106.7,1.8,1.8,105.0
111,-400.0,-104.0,1.8,1.8,105.0
112,-400.0,-101.3,1.8,1.8,104.0
113,-400.0,-98.7,1.4,1.4,104.0
114,-400.0,-96.0,1.4,1.4,103.0
115,-400.0,-93.3,1.4,1.4,103.0
116,-400.0,-90.7,1.4,1.4,103.0
117,-400.0,-88.0,1.4,1.4,102.0
118,-400.0,-85.3,1.4,1.4,102.0
119,-400.0,-82.7,1.4,1.4,102.0
